population,population_definition,removed_source,remaining_denominator_n,code_a,label_a,code_b,label_b,n11_both_present,n10_a_only,n01_b_only,n00_neither,jaccard,lift,full_population_n11,n11_difference,full_population_jaccard,jaccard_difference,full_population_lift,lift_difference
full_screened,All combined records evaluated by the deterministic screen,(no_source),980,jurisdiction_localisation,Jurisdiction-specific bank or account reference,telegram_off_platform,Telegram or private-channel coordination reference,18,99,64,799,0.099448,1.838649,20,-2,0.106952,-0.007504,1.913793,-0.075144
full_screened,All combined records evaluated by the deterministic screen,(no_source),980,jurisdiction_localisation,Jurisdiction-specific bank or account reference,tutorial_training_recruitment,"Tutorial, guide, or training content",30,87,74,789,0.157068,2.416174,32,-2,0.164103,-0.007035,2.48972,-0.073546
full_screened,All combined records evaluated by the deterministic screen,(no_source),980,jurisdiction_localisation,Jurisdiction-specific bank or account reference,vulnerable_group_exploitation,Vulnerable group or migrant/student exploitation,0,117,0,863,0.0,0.0,1,-1,0.008333,-0.008333,8.325,-8.325
full_screened,All combined records evaluated by the deterministic screen,(no_source),980,mule_recruitment,Mule recruitment or account-holder solicitation,telegram_off_platform,Telegram or private-channel coordination reference,7,2,75,896,0.083333,9.295393,7,0,0.077778,0.005555,8.037931,1.257462
full_screened,All combined records evaluated by the deterministic screen,(no_source),980,mule_recruitment,Mule recruitment or account-holder solicitation,tutorial_training_recruitment,"Tutorial, guide, or training content",5,4,99,872,0.046296,5.235043,5,0,0.044643,0.001653,4.668224,0.566819
full_screened,All combined records evaluated by the deterministic screen,(no_source),980,mule_recruitment,Mule recruitment or account-holder solicitation,vulnerable_group_exploitation,Vulnerable group or migrant/student exploitation,0,9,0,971,0.0,0.0,0,0,0.0,0.0,0.0,0.0
full_screened,All combined records evaluated by the deterministic screen,(no_source),980,telegram_off_platform,Telegram or private-channel coordination reference,tutorial_training_recruitment,"Tutorial, guide, or training content",29,53,75,823,0.184713,3.332552,31,-2,0.190184,-0.005471,3.326781,0.005771
full_screened,All combined records evaluated by the deterministic screen,(no_source),980,telegram_off_platform,Telegram or private-channel coordination reference,vulnerable_group_exploitation,Vulnerable group or migrant/student exploitation,0,82,0,898,0.0,0.0,0,0,0.0,0.0,0.0,0.0
full_screened,All combined records evaluated by the deterministic screen,(no_source),980,tutorial_training_recruitment,"Tutorial, guide, or training content",vulnerable_group_exploitation,Vulnerable group or migrant/student exploitation,0,104,0,876,0.0,0.0,0,0,0.0,0.0,0.0,0.0
full_screened,All combined records evaluated by the deterministic screen,1. Dread,930,bank_drop_sale,Bank drop sale or bank-drop infrastructure,bank_log_sale,Compromised bank log sale or discussion,69,33,98,730,0.345,3.767172,80,-11,0.358744,-0.013744,3.629098,0.138074
