population,population_definition,denominator_n,code_a,label_a,code_b,label_b,code_a_present_n,code_b_present_n,n11_both_present,n10_a_only,n01_b_only,n00_neither,jaccard,lift
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,463,fullz_identity_package,Fullz or identity package,jurisdiction_localisation,Jurisdiction-specific bank or account reference,124,116,44,80,72,267,0.22449,1.416296
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,463,fullz_identity_package,Fullz or identity package,mule_recruitment,Mule recruitment or account-holder solicitation,124,9,4,120,5,334,0.031008,1.659498
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,463,fullz_identity_package,Fullz or identity package,telegram_off_platform,Telegram or private-channel coordination reference,124,81,30,94,51,288,0.171429,1.382915
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,463,fullz_identity_package,Fullz or identity package,tutorial_training_recruitment,"Tutorial, guide, or training content",124,104,40,84,64,275,0.212766,1.436104
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,463,jurisdiction_localisation,Jurisdiction-specific bank or account reference,mule_recruitment,Mule recruitment or account-holder solicitation,116,9,4,112,5,342,0.033058,1.773946
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,463,jurisdiction_localisation,Jurisdiction-specific bank or account reference,telegram_off_platform,Telegram or private-channel coordination reference,116,81,18,98,63,284,0.100559,0.886973
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,463,jurisdiction_localisation,Jurisdiction-specific bank or account reference,tutorial_training_recruitment,"Tutorial, guide, or training content",116,104,30,86,74,273,0.157895,1.151359
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,463,mule_recruitment,Mule recruitment or account-holder solicitation,telegram_off_platform,Telegram or private-channel coordination reference,9,81,7,2,74,380,0.084337,4.445816
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,463,mule_recruitment,Mule recruitment or account-holder solicitation,tutorial_training_recruitment,"Tutorial, guide, or training content",9,104,5,4,99,355,0.046296,2.473291
exact_text_unique_sensitivity,One deterministic representative per combined-text SHA-256 value; sensitivity population only,463,telegram_off_platform,Telegram or private-channel coordination reference,tutorial_training_recruitment,"Tutorial, guide, or training content",81,104,29,52,75,307,0.185897,1.593898
